,IP_Address,Date&Time,Request,Status_Code,Page_code,Access_page,Browser
38,192.168.43.52,[26/Jun/2020:23:10:15,GET / HTTP/1.1,200,819,-,curl/7.61.1
39,192.168.43.52,[26/Jun/2020:23:10:16,GET / HTTP/1.1,200,819,-,curl/7.61.1
40,192.168.43.52,[26/Jun/2020:23:10:19,GET / HTTP/1.1,200,819,-,curl/7.61.1
41,192.168.43.52,[26/Jun/2020:23:10:19,GET / HTTP/1.1,200,819,-,curl/7.61.1
42,192.168.43.52,[26/Jun/2020:23:10:20,GET / HTTP/1.1,200,819,-,curl/7.61.1
43,192.168.43.52,[26/Jun/2020:23:10:21,GET / HTTP/1.1,200,819,-,curl/7.61.1
44,192.168.43.52,[26/Jun/2020:23:10:22,GET / HTTP/1.1,200,819,-,curl/7.61.1
45,192.168.43.52,[26/Jun/2020:23:10:23,GET / HTTP/1.1,200,819,-,curl/7.61.1
46,192.168.43.52,[26/Jun/2020:23:10:26,GET / HTTP/1.1,200,819,-,curl/7.61.1
47,192.168.43.52,[26/Jun/2020:23:10:28,GET / HTTP/1.1,200,819,-,curl/7.61.1
48,192.168.43.52,[26/Jun/2020:23:10:31,GET / HTTP/1.1,200,819,-,curl/7.61.1
49,192.168.43.52,[26/Jun/2020:23:10:55,GET / HTTP/1.1,200,819,-,curl/7.61.1
50,192.168.43.52,[26/Jun/2020:23:10:56,GET / HTTP/1.1,200,819,-,curl/7.61.1
51,192.168.43.52,[26/Jun/2020:23:10:57,GET / HTTP/1.1,200,819,-,curl/7.61.1
52,192.168.43.52,[26/Jun/2020:23:10:58,GET / HTTP/1.1,200,819,-,curl/7.61.1
53,192.168.43.52,[26/Jun/2020:23:10:59,GET / HTTP/1.1,200,819,-,curl/7.61.1
54,192.168.43.52,[26/Jun/2020:23:11:00,GET / HTTP/1.1,200,819,-,curl/7.61.1
55,192.168.43.52,[26/Jun/2020:23:11:01,GET / HTTP/1.1,200,819,-,curl/7.61.1
56,192.168.43.52,[26/Jun/2020:23:11:02,GET / HTTP/1.1,200,819,-,curl/7.61.1
57,192.168.43.52,[26/Jun/2020:23:11:03,GET / HTTP/1.1,200,819,-,curl/7.61.1
58,192.168.43.52,[26/Jun/2020:23:11:04,GET / HTTP/1.1,200,819,-,curl/7.61.1
59,192.168.43.52,[26/Jun/2020:23:11:05,GET / HTTP/1.1,200,819,-,curl/7.61.1
60,192.168.43.52,[26/Jun/2020:23:11:12,GET / HTTP/1.1,200,819,-,curl/7.61.1
61,192.168.43.52,[26/Jun/2020:23:11:13,GET / HTTP/1.1,200,819,-,curl/7.61.1
62,192.168.43.52,[26/Jun/2020:23:11:14,GET / HTTP/1.1,200,819,-,curl/7.61.1
63,192.168.43.52,[26/Jun/2020:23:11:14,GET / HTTP/1.1,200,819,-,curl/7.61.1
